titel;Autor_old;autor;hkat;ukat1;ukat2;swort
Hypatia;Arnulf Zitelmann;Zitelmann, Arnulf ;5;10;;
Verschollen in der Pyramide;Rosa Naumann;Naumann, Rosa ;5;10;;
Ich fand Tut-ench-Amun;Howard Carter;Carter, Howard ;5;10;;
Rette dich Pharao;Josef Carl Grund;Grund, Josef Carl;5;10;;
die Welt der Pharaonen;Hans Baumann;Baumann, Hans ;5;10;;
Helen Keller;Evelyn Clevé;Clevé, Evelyn ;4;24;;
M.C. Higgins, der Grosse;Virginia Hamilton;Hamilton, Virginia ;4;24;;
Entführung nach Hause;Iva Procházková;Procházková, Iva ;4;24;;
Theos Reise;Catherine Clément;Clément, Catherine ;4;24;;
Ein Anruf von Sebastian;Irina Korschunow;Korschunow, Irina ;4;24;;
Blaupause blueprint;Charlotte Kerner;Kerner, Charlotte ;4;24;;
Blaupause blueprint;Charlotte Kerner;Kerner, Charlotte ;4;24;;
Blaupause blueprint;Charlotte Kerner;Kerner, Charlotte ;4;24;;
Meine Schwester Sara;Ruth Weiss;Weiss, Ruth ;4;24;;
Was du willst;David Klass;Klass, David ;4;24;;
Mit offenen Augen;Joyce Carol Oates;Oates, Joyce Carol ;4;24;;
Sexy;Joyce Carol Oates;Oates, Joyce Carol ;4;24;;
Zwei Wege in den Sommer;Robert Habeck, Andrea Paluch;Paluch, Andrea / Habeck, Robert ;4;24;;
Wohin du mich führst;David Grossman;Grossman, David ;4;24;;
Im Schatten der Wächter;Graham Gardner;Gardner, Graham ;4;24;;
Und was ist mit mir?;Monika Feth;Feth, Monika ;4;24;;
Der Graf von Monte Christo;Alexandre Dumas;Dumas, Alexandre ;4;24;;
Luna;Julie Anne Peters;Peters, Julie Anne;4;24;;
Eine wie Alaska;John Green;Green, John ;4;24;;
Pawlows Kinder;Simon Borowiak;Borowiak, Simon ;4;24;;
Mauer aus Wut;Mats Wahl;Wahl, Mats ;4;24;;
Du musst die Wahrheit sagen;Mats Wahl;Wahl, Mats ;4;24;;
Alles nur ein Spiel?;Mariah;Mariah, ;4;24;;
Unter Freunden;Thomas Fuchs;Fuchs, Thomas ;4;24;;
Wir Kinder vom Bahnhof Zoo;Christiane F.;F., Christiane ;4;24;;
Behalt das Leben lieb;Jaap ter Haar;Haar, Jaap ter;4;24;;
Am kürzeren Ende der Sonnenallee;Thomas Brussig;Brussig, Thomas ;4;24;;
Ich hab dir nie einen Rosengarten versprochen;Hannah Green;Green, Hannah ;4;24;;
Nicht ohne meine Tochter;Betty Mahmoody;Mahmoody, Betty ;4;24;;
Die neuen Leiden des jungen W.;Ulrich Plenzdorf;Plenzdorf, Ulrich ;4;24;;
Die Tante Jolesch;Friedrich Torberg;Torberg, Friedrich ;4;24;;
Die Erben der Tante Jolesch;Friedrich Torberg;Torberg, Friedrich ;4;24;;
Der Abituriententag;Franz Werfel;Werfel, Franz ;4;24;;
Der menschliche Makel;Philip Roth;Roth, Philip ;4;24;;
Kristina, vergiß nicht…;Willi Fährmann;Fährmann, Willi ;4;24;;
Wüstenblume;Waris Dirie;Dirie, Waris ;4;24;;
Nomadentochter;Waris Dirie;Dirie, Waris ;4;24;;
Das Land, in dem man noe ankommt;André Dhôtel;Dhôtel, André ;4;24;;
Sansibar oder der letzte Grund;Alfred Andersch;Andersch, Alfred ;4;24;;
Der Weg in die Traumzeit;Jackie French;French, Jackie ;4;24;;
Der lange Weg des Lukas B.;Willi Fährmann;Fährmann, Willi ;4;24;;
Denken heisst zum Teufel beten;Wolfgang Kirchner;Kirchner, Wolfgang ;4;24;;
Lucy;Jamaica Kincaid;Kincaid, Jamaica ;4;24;;
Der Tunnel;Bernhard Kellermann;Kellermann, Bernhard ;4;24;;
Die Memoiren des Peterhans von Binningen;Curt Goetz;Goetz, Curt ;4;24;;
Die Macht des Feuers;Henning Mankell;Mankell, Henning ;4;24;;
Ein friedlicher Ort;Joan Lingard;Lingard, Joan ;4;24;;
Oya Fremde Heimat Türkei;König/Straube/Taylan;König/Straube/Taylan, ;4;24;;
Madison und die Freiheit der Jugend;Norma Klein;Klein, Norma ;4;24;;
Das Große Kishon Buch;Langen Müller;Müller, Langen ;4;24;;
Sie haben mich zu einem Ausländer gemacht…;;0;4;24;;
Simple;Marie-Aude Murail;Murail, Marie-Aude ;4;24;;
Simple;Marie-Aude Murail;Murail, Marie-Aude ;4;24;;
Verkauft;Patricia McCormick;McCormick, Patricia ;4;24;;
Marcus Rosenbloom und die Liebe;Harry Mazer;Mazer, Harry ;4;24;;
Meinst du, der Falke hat uns gesehen?;Norma Mazer;Mazer, Norma ;4;24;;
Na, Schwesterech?;Norma Mazer;Mazer, Norma ;4;24;;
Rosalenas Spiegel;Anne Provoost;Provoost, Anne ;4;24;;
Die Zeit der geheimen Wünsche;Iva Procházková;Procházková, Iva ;4;24;;
Leihst du mir deinen Blick;Valérie Zenatti;Zenatti, Valérie ;4;24;;
Wir treffen uns wieder in meinem Paradies;Christel & Isabell Zachert;Zachert, Isabell & Christel ;4;24;;
Nur eine Liste;Siobhan Vivian;Vivian, Siobhan ;4;24;;
Salto abwärts;Dieter Schliwka;Schliwka, Dieter ;4;24;;
Aristoteles und Dnate entdecken die Geheimnisse des Universums;Benjamin Alire Sáenz;Sáenz, Benjamin Alire ;4;24;;
Onkel Toms Hütte;H. Beecher-Stowe;Beecher-Stowe, H. ;5;11;;
Der Stern der Cherokee;Forest Carter;Carter, Forest ;5;11;;
Der Stern der Cherokee;Forest Carter;Carter, Forest ;5;11;;
Der fliegende Pfeil;Fritz Steuben;Steuben, Fritz ;5;11;;
Der rote Sturm;Fritz Steuben;Steuben, Fritz ;5;11;;
Hinter den Bergen die Freiheit;Günter Sachse;Sachse, Günter ;5;11;;
Becky Brown - Versprich nach mir zu suchen;Rainer M. Schröder;Schröder, Rainer M.;5;11;;
Abby Lynn 1;Rainer M. Schröder;Schröder, Rainer M.;5;11;;
Abby Lynn 2;Rainer M. Schröder;Schröder, Rainer M.;5;11;;
Abby Lynn 3;Rainer M. Schröder;Schröder, Rainer M.;5;11;;
Abby Lynn 4;Rainer M. Schröder;Schröder, Rainer M.;5;11;;
Die Kinderkarawane;An Rutgers;Rutgers, An ;5;11;;
Der Raub des Chinabaumes;Alfred Hageni;Hageni, Alfred ;5;11;;
Sheriffs Räuber TexasRangers;Frederik Hetmann;Hetmann, Frederik ;5;11;;
Unsere kleine Farm;Laura Ingalls Wilder;Wilder, Laura Ingalls;5;11;;
Unsere kleine Farm 2;Laura Ingalls Wilder;Wilder, Laura Ingalls;5;11;;
Unsere kleine Farm 3;Laura Ingalls Wilder;Wilder, Laura Ingalls;5;11;;
Unsere kleine Farm 4;Laura Ingalls Wilder;Wilder, Laura Ingalls;5;11;;
Unsere kleine Farm 5;Laura Ingalls Wilder;Wilder, Laura Ingalls;5;11;;
Unsere kleine Farm 6;Laura Ingalls Wilder;Wilder, Laura Ingalls;5;11;;
Unsere kleine Farm 7;Laura Ingalls Wilder;Wilder, Laura Ingalls;5;11;;
das gläserne Messer;John Tully;Tully, John ;5;11;;
Roots;Alex Haley;Haley, Alex ;5;11;;
Roots;Alex Haley;Haley, Alex ;5;11;;
Booker Washington;Jean Francois Cabrières;Cabrières, Jean Francois;5;11;;
Männer übers Meer verweht;Frederik Hetmann;Hetmann, Frederik ;5;17;;
Kleiner Weg;Arnulf Zitelmann;Zitelmann, Arnulf ;5;17;;
Vom Rentierjäger zum Raubritter;Tonny Vos - Dahmen von Buchholz;Buchholz, Dahmen von – Vos, Tonny ;5;17;;
Das Dorf am See;Josef Carl Grund;Grund, Josef Carl;5;17;;
Die Höhle über dem Fluss;Josef Carl Grund;Grund, Josef Carl;5;17;;
Die Stadt der Pferdegöttin;Josef Carl Grund;Grund, Josef Carl;5;17;;
Die Höhlenkinder - Im heimlichen Grund;A. Th. Sonnleitner;Sonnleitner, A. Th.;5;17;;
Die Höhle der weißen Wölfin;Gabriele Beyerlein;Beyerlein, Gabriele ;5;17;;
Die Kette der Dragomira;Gabriele Beyerlein;Beyerlein, Gabriele ;5;17;;
Das vertauschte Kind;Roesemary Sutcliff;Sutcliff, Roesemary ;5;17;;
Die eiserne Lerche;Michail Krausnick;Krausnick, Michail ;5;18;;
Hungerweg- Das Schicksal der Schwabenkinder;Othmar Franz Lang;Lang, Franz Othmar ;5;18;;
Beeren-Sommer;Inge Barth-Grözinger;Barth-Grözinger, Inge ;5;18;;
Berlin, Bülowstraße 80a;Gabriele Beyerlein;Beyerlein, Gabriele ;5;18;;
Die schwarzen Brüder;Lisa Tetzner;Tetzner, Lisa ;5;18;;
Donnergrollen;Mildred D. Taylor;Taylor, D. Mildred ;5;18;;
Wir Kuckuckskinder;Anatoli Pristawkin;Pristawkin, Anatoli ;5;18;;
Emmas Weg in die Freiheit;Thomas Jeier;Jeier, Thomas ;5;18;;
Zeit zu hassen, Zeit zu lieben;Willi Fährmann;Fährmann, Willi ;5;18;;
Der Mann im Feuer;Willi Fährmann;Fährmann, Willi ;5;18;;
Ich kann es nicht vergessen;Margaret I. Rostkowski;Rostkowski, Margaret I.;5;18;;
Tisha;Robert Specht;Specht, Robert ;5;18;;
Cuore;Edmondo De Amicis;Amicis, Edmondo De;5;18;;
Spuk in der Schule;Carol Drinkwater;Drinkwater, Carol ;5;18;;
Gläserne Bienen;Ernst Jünger;Jünger, Ernst ;5;18;;
Völkerschlachtsdenkmal;Erich Loest;Loest, Erich ;5;18;;
Die schwarze Muse;Dieter Hirschberg;Hirschberg, Dieter ;5;18;;
Station Victoria;Anne Cuneo;Cuneo, Anne ;5;18;;
Sturz der Titanen;Ken Follett;Follett, Ken ;5;18;;
Der Fluch von Troja;Bellinda;Bellinda, ;5;18;;
Merlin und Artus;Rosemary Sutcliff;Sutcliff, Rosemary ;9;12;;
Merlin und Artus;Rosemary Sutcliff;Sutcliff, Rosemary ;9;12;;
Lanzelot und Ginevra;Rosemary Sutcliff;Sutcliff, Rosemary ;9;12;;
Der Rebell und der Herzog;Hanns Maria Lux;Lux, Hanns Maria;5;19;;
das Abenteuerliche Leben des Doktor Faust;Felix Huby;Huby, Felix ;5;19;;
Wolfgang Amadé;Valerian Tornius;Tornius, Valerian ;5;19;;
Wolfsrudel;Floortje Zwigtmann;Zwigtmann, Floortje ;5;19;;
Totenbraut;Nina Blazon;Blazon, Nina ;5;19;;
das verschwundene Testament der Alice Shadwell;Rainer M. Schröder;Schröder, Rainer M.;5;19;;
Der abenteuerliche Simplicissimus;Hans Jakob Christoffel von Grimmelshausen;Grimmelshausen, Hans Jakob Christoffel von;5;19;;
Der abenteuerliche Simplicissimus;Hans Jakob Christoffel von Grimmelshausen;Grimmelshausen, Hans Jakob Christoffel von;5;19;;
Trenck;Bruno Frank;Frank, Bruno ;5;19;;
Verrat!;Inge Ott;Ott, Inge ;5;19;;
Die letzte Frist;Valentin Rasputin;Rasputin, Valentin ;5;19;;
Der junge Wiking;T.Vos-Dahmen von Buchholz;Buchholz, Dahmen von / Vos, T.;5;20;;
Reiter aus der Sonne;Josef Carl Grund;Grund, Josef Carl;5;20;;
Überfall der Wikinger;Leif Esper Andersen;Andersen, Leif Esper;5;20;;
Der goldene Kegel;Gabriele Beyerlein;Beyerlein, Gabriele ;5;20;;
Der eiserne Heinrich;Christa Ludwig;Ludwig, Christa ;5;20;;
Mordred, Sohn des Artus;Nancy Springer;Springer, Nancy ;5;20;;
Jenseits von Aran;Arnulf Zitelmann;Zitelmann, Arnulf ;5;20;;
Vom Skamander zum Löwentor;Heinrich Schliemann;Schliemann, Heinrich ;5;13;;
Leonidas und seine Dreihundert;Mary Renault;Renault, Mary ;5;13;;
Entscheidung bei Salamis;Wolfram zu Mondfeld;Mondfeld, Wolfram zu;5;13;;
Die Trojanerin;Katherine Allfrey;Allfrey, Katherine ;5;13;;
Die Nacht der Zugvögel;Eva Rechlin;Rechlin, Eva ;5;13;;
Der Komet von Samos;T. Vos-Dahmen von Buchholz;Buchholz, Dahmen von – Vos, Tonny ;5;13;;
Im Zeichen von Olympia;Margaret Hodges;Hodges, Margaret ;5;13;;
Letzter Kampf in Olympia;Dieter Müller;Müller, Dieter ;5;13;;
Gefahr für Olympia;Katherine Roberts;Roberts, Katherine ;5;13;;
Die Geschichten von Herodot;Heinrich Pleticha;Pleticha, Heinrich ;5;13;;
Sokrates vor Gericht;Mason;Mason, ;5;13;;
Der Fluch von Troja;Bellinda;Bellinda, ;5;13;;
Wettlauf in Olympia;Olaf Fritsche;Fritsche, Olaf ;5;13;;
Marco Polo- Abenteuer im Reich der Mitte;Milton Rugoff;Rugoff, Milton ;5;21;;
Edle Räuber, große Gauner;Ludwig Barring;Barring, Ludwig ;5;21;;
Robin Hood;Howard Pyle;Pyle, Howard ;5;21;;
Robin Hood;Howard Pyle;Pyle, Howard ;5;21;;
Klaus Störtebeker;Gustav Schalk;Schalk, Gustav ;5;21;;
Ben Mahkis oder Die Reise in das Abendland;Kurt Wasserfall;Wasserfall, Kurt ;5;21;;
Catherine - Lady wider Willen;Karen Cushman;Cushman, Karen ;5;21;;
Das Siegel;Wolfgang Hohlbein;Hohlbein, Wolfgang ;5;21;;
Der Name der Rose;Umberto Eco;Eco, Umberto ;5;21;;
Der Medicus;Noah Gordon;Gordon, Noah ;5;21;;
Marco Polo und die Söhne des Himmels;M.Z. Thomas;Thomas, M.Z. ;5;21;;
Die Blütezeit der Seeräuber in Nord- und Ostsee;Dieter Zimmerling;Zimmerling, Dieter ;5;21;;
Der Ritter;Max Kruse;Kruse, Max ;5;21;;
Unter Gauklern;Arnulf Zitelmann;Zitelmann, Arnulf ;5;21;;
Der Medicus;Noah Gordon;Gordon, Noah ;5;21;;
Das Nest der Zaunkönige;Gustav Freytag;Freytag, Gustav ;5;21;;
Bruder Staubfuß;Roesemary Sutcliff;Sutcliff, Roesemary ;5;21;;
Stich um Stich;Lars-Henrik Olsen;Olsen, Lars-Henrik ;5;21;;
Robin Hood;Hrsg. Gerstenberg;Gerstenberg, Hrsg. ;5;21;;
Die rote Zora und ihre Bande;Kurt Held;Held, Kurt ;4;25;;
Geboren 1999 - Eine Zukunfts Geschichte;Charlotte Kerner;Kerner, Charlotte ;4;25;;
schlafende Hunde;Sonya Hartnett;Hartnett, Sonya ;4;25;;
Die Reise ans Ende der Welt;Henning Mankell;Mankell, Henning ;4;25;;
Die Tote im Wald;Soniam Levitin;Levitin, Soniam ;4;25;;
Worüber keiner spricht;Allan Stratton;Stratton, Allan ;4;25;;
Chandas Krieg;Allan Stratton;Stratton, Allan ;4;25;;
Alles auf Anfang;Barbara Lehnerer;Lehnerer, Barbara ;4;25;;
Wildwassermädchen;James Pope;Pope, James ;4;25;;
Nenn mich einfach super!;Reinhold Ziegler;Ziegler, Reinhold ;4;25;;
Ein paar richtig schöne Tage;Mats Wahl;Wahl, Mats ;4;25;;
Ich hätte Nein sagen können;Annika Thor;Thor, Annika ;4;25;;
Der kleine Lord;Frances Burnett;Burnett, Frances ;4;25;;
Hilfe die Herdmanns kommen;Babara Robinson;Robinson, Babara ;4;25;;
Mein Urgroßvater und ich;James Krüss;Krüss, James ;4;25;;
Der Schreckliche Anfang;Lemony Snicket;Snicket, Lemony ;4;25;;
Die Rache des Marmorzüchters;Willy van Doorselaer;Doorselaer, van Willy ;4;25;;
Stellastraße;Elisabeth Honey;Honey, Elisabeth ;4;25;;
Erzähl mir von Oma;Guus Kuijer;Kuijer, Guus ;4;25;;
Bongo Bommel aus dem All;Elfie Donnelly;Donnelly, Elfie ;4;25;;
Die rote Zora;Kurt Held;Held, Kurt ;4;25;;
Lügenmaus und Bärenkönig;Otto Maier Hg.;Hg., Maier Otto ;4;25;;
Nennt mich nicht Ismael;Michael Gerard Bauer;Bauer, Michael Gerard ;4;25;;
Ismael und der auftritt der Seekühe;Michael Gerard Bauer;Bauer, Michael Gerard ;4;25;;
Wer spinnt denn da?;Iva Procházková;Procházková, Iva ;4;25;;
Der Sommer hat Eselsohren;Iva Procházková;Procházková, Iva ;4;25;;
Geh und spiel mit dem Riesen;Hans- Joachim Gelberg;Gelberg, Hans-Joachim ;4;25;;
Schlimmes Ende;Philip Ardagh;Ardagh, Philip ;4;25;;
Heidi 1;Johanna Spyri;Spyri, Johanna ;4;25;;
Heidi 2;Johanna Spyri;Spyri, Johanna ;4;25;;
Damals im Poggenwalde;Arno Surminski;Surminski, Arno ;4;25;;
Benni Sprachlos;Peter Steinbach;Steinbach, Peter ;4;25;;
Der Hund, der unterwegs zu einem Stern war;Henning Mankell;Mankell, Henning ;4;25;;
Pinocchio;Carlo Collodi;Collodi, Carlo ;4;25;;
Paul Vier und die Schröders;Andreas Steinhöfel;Steinhöfel, Andreas ;4;25;;
Gregs Tagebuch - Von Idioten umzingelt!;Jeff Kinney;Kinney, Jeff ;4;25;;
Warten auf Anya;Michael Morpurgo;Morpurgo, Michael ;4;25;;
DORK diaries;Rachel Renee Russell;Russell, Rachel Renee;4;25;;
Mit Jakob wurde alles anders;Kirsten Boie;Boie, Kirsten ;4;25;;
Der kleine Nick;Sempé Goscinny;Goscinny, Sempé ;4;25;;
Der kleine Nick - und die Ferien;Sempé Goscinny;Goscinny, Sempé ;4;25;;
Der kleine Nick - und seine Bande;Sempé Goscinny;Goscinny, Sempé ;4;25;;
Der kleine Nick - und die Schule;Sempé Goscinny;Goscinny, Sempé ;4;25;;
Der kleine Nick - und die Mädchen;Sempé Goscinny;Goscinny, Sempé ;4;25;;
Die Nachtvögel;Tormod Haugen;Haugen, Tormod ;4;25;;
Mein Bruder Jack;Joachim Hartenstein;Hartenstein, Joachim ;4;25;;
Betreten verboten;Uwe-Michael Gutzschahn;Gutzschahn, Uwe-Michael ;4;25;;
Der Weg durch die Wand;Almut Gernhardt;Gernhardt, Almut ;4;25;;
Die blauen und die grauen Tage;Monika Feth;Feth, Monika ;4;25;;
Servus Opa, sagte ich leise.;Elfie Donnelly;Donnelly, Elfie ;4;25;;
Die Zwölf vom Dachboden;Pauline Clarke;Clarke, Pauline ;4;25;;
Der kleine Lord;Frances Burnett;Burnett, Frances ;4;25;;
Nachmittags im fünften Stock;I.Jaques- Buddenböhmer;Buddenböhmer, I.Jaques- ;4;25;;
… und dann kam Joselle;Kevin Henkes;Henkes, Kevin ;4;25;;
Timm Thalers Puppen oder die Verkaufte Menschenliebe;James Krüss;Krüss, James ;4;25;;
Eine Art Familientreffen;Judith Kerr;Kerr, Judith ;4;25;;
Gespenster essen kein Sauerkraut;Gina Ruck-Pauquèt;Ruck-Pauquèt, Gina ;4;25;;
Ich war eine Ratte;Philip Pullman;Pullman, Philip ;4;25;;
Mut zur Tat;Ina Prowe & Carl Corner;Corner, Carl & Prowe, Ina ;4;25;;
Kratzer im Lack;Mirjam Pressler;Pressler, Mirjam ;4;25;;
Einer zuviel im Klassenbuch;Otti Pfeiffer;Pfeiffer, Otti ;4;25;;
Benvenuto heisst Willkommen;Hans Gerorg Noack;Noack, Hans Georg;4;25;;
Goliath von nebenan;An Rutgers;Rutgers, An ;4;25;;
Wenn einfach etwas geschieht;Anna-Greta Winberg;Winberg, Anna-Greta ;4;25;;
Erinnerung an David;Jean Ure;Ure, Jean ;4;25;;
Never Alone;Ute Wegmann;Wegmann, Ute ;4;26;;
Die Outsider;Susan E. Hinton;Hinton, Susan E.;4;26;;
Es gibt hier nur zwei Richtungen Mister;Reinhold Ziegler;Ziegler, Reinhold ;4;26;;
Ein Schatten wie ein Leopard;Myron Levoy;Levoy, Myron ;4;26;;
Kick it like Beckham;Narinder Dhami;Dhami, Narinder ;4;26;;
Vorstadtkrokodile;C. Bertelsmann;Bertelsmann, C. ;4;26;;
Crash - Das Leben ist Football;Jerry Spinnelli;Spinnelli, Jerry ;4;26;;
Billy Elliot;Melvin Burgess;Burgess, Melvin ;4;26;;
der große Bingobang;Peter Carey;Carey, Peter ;4;26;;
Nicht Chicago. nicht hier.;Kirsten Boie;Boie, Kirsten ;4;26;;
Elf Freunde müßt ihr sein;Sammy Drechsel;Drechsel, Sammy ;4;26;;
Dann nehmt doch mich;Volker W. Degener;Degener, W. Volker ;4;26;;
Manni der Libero;Peter Conradi;Conradi, Peter ;4;26;;
>>Halbzeit<< Fußballgeschichten;HRSG. James Riordan;Riordan, James HRSG. ;4;26;;
Freak;Rodman Philbrick;Philbrick, Rodman ;4;26;;
Heinrichs Geheimnis;Jo Pestum;Pestum, Jo ;4;26;;
Rolltreppe abwärts;Hans-Georg Noack;Noack, Hans-Georg ;4;26;;
Berts beste Katastrophen;S. Olsson, A. Jacobsson;Jacobsson, S. / Olsson, A. ;4;26;;
Der rote Nepomuk;Josef Holub;Holub, Josef ;4;26;;
Die Fünfzig vom Abendblatt;Alfred Weidenmann;Weidenmann, Alfred ;4;26;;
Samuel Tillerman, Der Läufer;Cynthia Voigt;Voigt, Cynthia ;4;26;;
Der Fluch des Käpt´n Korby;Dieter Schliwka;Schliwka, Dieter ;4;26;;
Wie Sand vor dem Wind;Kurt Lütgen;Lütgen, Kurt ;5;14;;
Rotes Kap der Abenteuer;Rainer M. Schröder;Schröder, Rainer M.;5;14;;
Land des Feuers, Land der Sehnsucht;Rainer M. Schröder;Schröder, Rainer M.;5;14;;
Jäger des weißen Goldes;Rainer M. Schröder;Schröder, Rainer M.;5;14;;
Auf dem Strom;Hermann Schulz;Schulz, Hermann ;5;14;;
Pepe Amado;Gudrun Pausewang;Pausewang, Gudrun ;5;14;;
Rote Sonne, schwarzes Land;Barbara Wood;Wood, Barbara ;5;14;;
Ein Schmetterling aus Surinam;Ingrid Möller;Möller, Ingrid ;4;27;;
Carolina;Iva Procházková;Procházková, Iva ;4;27;;
Ein krasser Sommer;Eva-Maria Schmid;Schmid, Eva-Maria ;4;27;;
Fragt mal Alice;Anonym;Anonym, ;4;27;;
Ich, die Andere;Jana Frey;Frey, Jana ;4;27;;
Klassenspiel;Celia Rees;Rees, Celia ;4;27;;
Essen? Nein, danke!;Stewart;Stewart, ;4;27;;
Hamide spielt Hamide;Annelies Schwarz;Schwarz, Annelies ;4;27;;
Novemberkatzen;Mirjam Pressler;Pressler, Mirjam ;4;27;;
Zoe schweigt;Martia De Sterck;Sterck, De Martia ;4;27;;
Die vier Freiheiten der Hanna B.;Ingeborg Bayer;Bayer, Ingeborg ;4;27;;
Der Gesang der Orcas;Antje Babendererde;Babendererde, Antje ;4;27;;
Taube unter Falken;Katherine Allfrey;Allfrey, Katherine ;4;27;;
Drachenflügel;Renate Welsh;Welsh, Renate ;4;27;;
Shabanu Tochter des Windes;Suzanne Fisher Staples;Fisher Staples, Suzanne ;4;27;;
Im Tunnel Sterne suchen;Jane Mitchell;Mitchell, Jane ;4;27;;
Zweimal Marie;Nina Petrick;Petrick, Nina ;4;27;;
Alles Liebe, Deine Anna;Jean Little;Little, Jean ;4;27;;
Der Schatten des Schmetterlings;Marjaleena Lembke;Lembke, Marjaleena ;4;27;;
Als ich noch Gretchen Asmussen hieß;Christina König;König, Christina ;4;27;;
Buon Giorno Germania;Enzo Demattè;Demattè, Enzo ;4;27;;
Fränze;Peter Härtling;Härtling, Peter ;4;27;;
50 Hertz gegen Stalin;Steffen Lüddemann;Lüddemann, Steffen ;5;15;;
Da soll der Mensch nicht scheiden;Herbert Plate;Plate, Herbert ;5;15;;
Giuseppe und Maria;Kurt Held;Held, Kurt ;5;15;;
Mauersegler;Waldtraut Lewin;Lewin, Waldtraut ;5;15;;
Zwischen uns die Mauer;Katja Hildebrand;Hildebrand, Katja ;5;15;;
Stern über der Mauer;H.-G. Noack;Noack, H.-G. ;5;15;;
Weggesperrt;Grit Poppe;Poppe, Grit ;5;15;;
Die Stunde der Lerche;Willi Fährmann;Fährmann, Willi ;5;15;;
Wintereis;Peter van Gestel;Gestel, van Peter ;5;15;;
Ein Kind im Krieg;Thierry Jonquet;Jonquet, Thierry ;5;15;;
Krücke;Peter Härtling;Härtling, Peter ;5;15;;
Das Schulschwein;Walter Püschel;Püschel, Walter ;5;15;;
5 Tage im Juni;Stefan Heym;Heym, Stefan ;5;15;;
Mutmaßungen über Jakob;Uwe Johnson;Johnson, Uwe ;5;15;;
Nikolaikirche;Erich Loest;Loest, Erich ;5;15;;
Gratwanderung;Jewgenia Ginsburg;Ginsburg, Jewgenia ;5;15;;
Im Sperrkreis;Felix Hartlaub;Hartlaub, Felix ;5;15;;
The Russia House;John le Carré;Carré, John le ;5;15;;Englisch
Paule Pizolka;Arnulf Zitelmann;Zitelmann, Arnulf ;5;22;;
Stern ohne Himmel;Leonie Ossowski;Ossowski, Leonie ;5;22;;
Die lange Reise des Jakob Stern;Rainer M. Schröder;Schröder, M. Rainer ;5;22;;
Mojsche und Rejsele;Karlijn Stoffels;Stoffels, Karlijn ;5;22;;
Als Hitler das rosa Kaninchen stahl;Judith Kerr;Kerr, Judith ;5;22;;
Warten bis der Frieden kommt;Judith Kerr;Kerr, Judith ;5;22;;
Er hieß Jan;Irina Korschunow;Korschunow, Irina ;5;22;;
... und dann musste ich gehen;Charles Hannam;Hannam, Charles ;5;22;;
